Timestamp (ms), RPM SEC
4203745,2006
4203767,1844
4203792,1599
4203808,2446
4203829,1928
4203845,2581
4203869,1639
4203883,2858
4203902,2104
4203927,1598
4203944,2356
4203969,1599
4203983,2861
4203999,2420
4204019,2053
4204044,1599
4204060,2534
4204077,2379
4204098,1836
4204125,1492
4204147,2710
4204172,1637
4204186,2808
4204205,2111
4204229,1629
4204247,2326
4204263,2497
4204286,1718
4204301,2627
4204322,1949
4204347,1600
4204362,2682
4204387,1575
4204399,3191
4204431,1910
4204453,1770
4204479,1595
4204493,2782
4204510,2307
4204534,1656
4204558,2568
4204582,1634
4204596,2923
4204614,2152
4204637,1805
4204657,1968
4204681,1675
4204695,2841
4204720,1574
4204739,2159
4204753,2825
4204773,2002
4204796,1752
4204816,1984
4204832,2491
4204854,1808
4204880,1570
4204894,2705
4204918,1665
4204934,2615
4204954,1988
4204976,1828
4204995,2052
4205020,1599
4205034,2871
4205051,2401
4205081,2000
4205104,1751
4205130,2300
4205144,2780
4205180,1687
4205194,2755
4205215,1926
4205237,1829
4205257,1982
4205282,1600
4205296,2757
4205323,1503
4205336,2995
4205357,1948
4205394,1631
4205407,2984
4205432,1599
4205446,2910
4205464,2257
4205482,2165
4205507,1607
4205523,2435
4205542,2144
4205565,1757
4205584,2087
4205609,1599
4205625,2574
4205641,2439
4205665,1668
4205684,2096
4205698,2870
4205720,1829
4205738,2146
4205759,1945
4205784,1599
4205798,2793
4205818,2044
4205838,1950
4205864,1534
4205888,2544
4205912,1681
4205927,2724
4205946,2040
4205968,1817
4205987,2117
4206056,1740
4206072,2442
4206087,2755
4206105,2215
4206127,1779
4206147,2039
4206173,1558
4206187,2691
4206203,2640
4206227,1647
4206247,1993
4206273,1565
4206288,2631
4206303,2587
4206327,1659
4206347,2033
4206378,1935
4206401,1773
4206425,2431
4206441,2582
4206466,1587
4206481,2665
4206500,2084
4206525,1594
4206539,2794
4206575,1682
4206590,2645
4206625,1712
4206640,2762
4206659,2056
4206682,1794
4206705,1727
4206719,2770
4206738,2120
4206759,1938
4206779,1963
4206804,1600
4206819,2701
4206837,2198
4206859,1845
4206879,1968
4206894,2594
4206919,1624
4206934,2609
4206962,1446
4207031,2036
4207047,2520
4207062,2657
4207080,2175
4207101,1915
4207121,2000
4207146,1572
4207161,2702
4207178,2373
4207196,2184
4207221,1649
4207246,2318
4207271,1655
4207297,2314
4207321,1661
4207352,1939
4207377,2382
4207391,2745
4207409,2293
4207436,2206
4207456,2012
4207476,1944
4207492,2523
4207527,1713
4207542,2809
4207568,1504
4207582,2952
4207602,1960
4207626,1635
4207642,2629
4207658,2432
4207681,1787
4207695,2780
4207720,1575
4207737,2362
4207755,2258
4207771,2515
4207793,1812
4207810,2408
4207830,1960
4207855,1596
4207871,2491
4207887,2564
4207910,1735
4207930,1967
4207944,2818
4207968,1658
4207986,2253
4208001,2762
4208019,2171
4208042,1721
4208061,2122
4208077,2482
4208094,2425
4208119,1592
4208136,2303
4208161,1599
4208177,2549
4208192,2583
4208211,2150
4208236,1599
4208250,2818
4208267,2322
4208291,1690
4208305,2878
4208322,2280
4208341,2165
4208365,1673
4208382,2359
4208397,2677
4208416,2082
4208440,1674
4208455,2664
4208474,2059
4208496,1879
4208515,2065
4208541,1527
4208555,2899
4208573,2237
4208596,1702
4208618,1812
4208634,2626
4208650,2392
4208674,1700
4208693,2089
4208708,2659
4208727,2126
4208747,1947
4208768,1942
4208784,2517
4208802,2158
4208824,1845
4208843,2116
4208859,2468
4208884,1607
4208899,2589
4208922,1812
4208936,2749
4208952,2501
4208971,2121
4208996,1600
4209010,2862
4209028,2190
4209050,1803
4209071,1943
4209086,2630
4209105,2123
4209126,1901
4209146,2009
4209162,2471
4209185,1718
4209202,2360
4209226,1720
4209251,1595
4209265,2769
4209284,2147
4209302,2215
4209317,2566
4209341,1660
4209356,2829
4209376,1966
4209401,1613
4209415,2732
4209452,1643
4209476,1653
4209508,1896
4209534,2308
4209558,1636
4209584,2360
4209608,1626
4209634,1552
4209648,2795
4209684,1699
4209708,1635
4209734,1549
4209758,1651
4209783,1572
4209814,1951
4209837,1771
4209861,1650
4209886,1601
4209900,2871
4209927,1472
4209944,2386
4209966,1801
4209990,1651
4210012,1808
4210037,1627
4210052,2698
4210077,1566
4210095,2321
4210117,1806
4210142,1576
4210164,1801
4210179,2734
4210203,1665
4210222,2147
4210247,1590
4210268,1842
4210289,1967
4210314,1603
4210339,1605
4210353,2791
4210379,1523
4210396,2329
4210418,1808
4210455,1655
4210473,2156
4210491,2199
4210517,1582
4210531,2751
4210551,2024
4210572,1890
4210599,1486
4210617,2220
4210642,1591
4210656,2931
4210681,1592
4210699,2196
4210722,1772
4210748,1516
4210770,1801
4210796,2367
4210820,1648
4210846,2331
4210870,1648
4210895,1567
4210910,2732
4210945,1708
4210970,1616
4210995,1596
