Timestamp (ms), GPS LONGITUDE
11150956,-88.527
11151056,-88.527
11151156,-88.527
11151256,-88.527
11151356,-88.527
11151456,-88.527
11151556,-88.527
11151656,-88.527
11151756,-88.527
11151856,-88.527
11151956,-88.527
11152060,-88.527
11152160,-88.527
11152260,-88.527
11152360,-88.527
11152460,-88.527
11152562,-88.527
11152662,-88.527
11152762,-88.527
11152864,-88.527
11152966,-88.527
11153071,-88.527
11153173,-88.527
11153273,-88.527
11153375,-88.527
11153481,-88.527
11153581,-88.527
11153681,-88.527
11153782,-88.527
11153882,-88.527
11153987,-88.527
11154087,-88.527
11154193,-88.527
11154293,-88.527
11154396,-88.527
11154496,-88.527
11154596,-88.527
11154696,-88.527
11154796,-88.527
11154899,-88.527
11154999,-88.527
11155099,-88.527
11155199,-88.527
11155300,-88.527
11155401,-88.527
11155501,-88.527
11155601,-88.527
11155702,-88.527
11155802,-88.527
11155902,-88.527
11156005,-88.527
11156107,-88.527
11156213,-88.527
11156313,-88.527
11156413,-88.527
11156513,-88.527
11156613,-88.527
11156714,-88.527
11156820,-88.527
11156920,-88.527
11157034,-88.527
11157134,-88.527
11157249,-88.527
11157349,-88.527
11157449,-88.527
11157555,-88.527
11157655,-88.527
11157755,-88.527
11157855,-88.527
11157961,-88.527
11158061,-88.527
11158161,-88.527
11158261,-88.527
11158366,-88.527
11158467,-88.527
11158567,-88.527
11158672,-88.527
11158774,-88.527
11158874,-88.527
11158975,-88.527
11159075,-88.527
11159176,-88.527
11159278,-88.527
11159378,-88.527
11159478,-88.527
11159578,-88.527
11159678,-88.527
11159778,-88.527
11159879,-88.527
11159979,-88.527
11160081,-88.527
11160181,-88.527
11160281,-88.527
11160384,-88.527
11160484,-88.527
11160584,-88.527
11160684,-88.527
11160790,-88.527
11160890,-88.527
11160990,-88.527
11161090,-88.527
11161190,-88.527
11161292,-88.527
11161392,-88.527
11161492,-88.527
11161592,-88.527
11161695,-88.527
11161795,-88.527
11161895,-88.527
11161996,-88.527
11162097,-88.527
11162197,-88.527
11162297,-88.527
11162401,-88.527
11162508,-88.527
11162613,-88.527
11162715,-88.527
11162818,-88.527
11162918,-88.527
11163019,-88.527
11163119,-88.527
11163220,-88.527
11163320,-88.527
11163420,-88.527
11163522,-88.527
11163622,-88.527
11163722,-88.527
11163822,-88.527
11163923,-88.527
11164028,-88.527
11164128,-88.527
11164228,-88.527
11164334,-88.527
11164437,-88.527
11164537,-88.527
11164637,-88.527
11164737,-88.527
11164843,-88.527
11164943,-88.527
11165043,-88.527
11165143,-88.527
11165243,-88.527
11165349,-88.527
11165454,-88.527
11165554,-88.527
11165654,-88.527
11165755,-88.527
11165855,-88.527
11165955,-88.527
11166055,-88.527
11166155,-88.527
11166261,-88.527
11166361,-88.527
11166461,-88.527
11166561,-88.527
11166666,-88.527
11166768,-88.527
11166868,-88.527
11166968,-88.527
11167068,-88.527
11167168,-88.527
11167269,-88.527
11167370,-88.527
11167470,-88.527
11167570,-88.527
11167672,-88.527
11167778,-88.527
11167878,-88.527
11167978,-88.527
11168078,-88.527
11168181,-88.527
11168281,-88.527
11168381,-88.527
11168481,-88.527
11168582,-88.527
11168684,-88.527
11168784,-88.527
11168884,-88.527
11168984,-88.527
11169084,-88.527
11169185,-88.527
11169285,-88.527
11169385,-88.527
11169485,-88.527
11169586,-88.527
11169686,-88.527
11169786,-88.527
11169886,-88.527
11169991,-88.527
11170093,-88.527
11170193,-88.527
11170293,-88.527
11170393,-88.527
11170496,-88.527
11170600,-88.527
11170700,-88.527
11170800,-88.527
11170905,-88.527
11171005,-88.527
11171105,-88.527
11171205,-88.527
11171305,-88.527
11171408,-88.527
11171508,-88.527
11171608,-88.527
11171708,-88.527
11171813,-88.527
11171917,-88.527
11172017,-88.527
11172117,-88.527
11172217,-88.527
11172321,-88.527
11172422,-88.527
11172522,-88.527
11172622,-88.527
11172727,-88.527
11172831,-88.527
11172931,-88.527
11173031,-88.527
11173132,-88.527
11173234,-88.527
11173334,-88.527
11173435,-88.527
11173535,-88.527
11173639,-88.527
11173739,-88.527
11173839,-88.527
11173939,-88.527
11174045,-88.527
11174145,-88.527
11174245,-88.527
11174345,-88.527
11174445,-88.527
11174547,-88.527
11174657,-88.527
11174757,-88.527
11174857,-88.527
11174958,-88.527
11175059,-88.527
11175160,-88.527
11175266,-88.527
11175368,-88.527
11175469,-88.527
11175570,-88.527
11175670,-88.527
11175771,-88.527
11175871,-88.527
11175973,-88.527
11176073,-88.527
11176173,-88.527
11176273,-88.527
11176378,-88.527
11176481,-88.527
11176582,-88.527
11176682,-88.527
11176783,-88.527
11176888,-88.527
11176988,-88.527
11177088,-88.527
11177188,-88.527
11177291,-88.527
11177391,-88.527
11177491,-88.527
11177591,-88.527
11177691,-88.527
11177793,-88.527
11177894,-88.527
11177994,-88.527
11178094,-88.527
11178194,-88.527
11178296,-88.527
11178397,-88.527
11178497,-88.527
11178598,-88.527
11178698,-88.527
11178798,-88.527
11178898,-88.527
11178998,-88.527
11179104,-88.527
11179204,-88.527
11179305,-88.527
11179405,-88.527
11179505,-88.527
11179608,-88.527
11179711,-88.527
11179811,-88.527
11179911,-88.527
11180014,-88.527
11180119,-88.527
11180219,-88.527
11180319,-88.527
11180419,-88.527
11180522,-88.527
11180622,-88.527
11180722,-88.527
11180827,-88.527
11180927,-88.527
11181027,-88.527
11181127,-88.527
11181227,-88.527
11181327,-88.527
11181431,-88.527
11181531,-88.527
11181631,-88.527
11181731,-88.527
11181833,-88.527
11181933,-88.527
11182033,-88.527
11182133,-88.527
11182234,-88.527
11182336,-88.527
11182436,-88.527
11182536,-88.527
11182637,-88.527
11182737,-88.527
11182837,-88.527
11182937,-88.527
11183042,-88.527
11183144,-88.527
11183247,-88.527
11183347,-88.527
11183447,-88.527
11183547,-88.527
11183650,-88.527
11183750,-88.527
11183850,-88.527
11183950,-88.527
11184050,-88.527
11184154,-88.527
11184254,-88.527
11184354,-88.527
11184454,-88.527
11184554,-88.527
11184654,-88.527
11184754,-88.527
11184854,-88.527
11184954,-88.527
11185060,-88.527
11185160,-88.527
11185262,-88.527
11185362,-88.527
11185463,-88.527
11185564,-88.527
11185664,-88.527
11185764,-88.527
11185865,-88.527
11185967,-88.527
11186067,-88.527
11186167,-88.527
11186267,-88.527
11186367,-88.527
11186367,-88.527
11186467,-88.527
11186567,-88.527
11186667,-88.527
11186767,-88.527
11186867,-88.527
11186867,-88.527
11186967,-88.527
11186967,-88.527
11187067,-88.527
11187067,-88.527
11187168,-88.527
11187168,-88.527
11187271,-88.527
11187373,-88.527
11187473,-88.527
11187573,-88.527
11187673,-88.527
11187778,-88.527
11187878,-88.527
11187978,-88.527
11188078,-88.527
11188180,-88.527
11188180,-88.527
11188281,-88.527
11188281,-88.527
11188381,-88.527
11188381,-88.527
11188481,-88.527
11188481,-88.527
11188581,-88.527
11188681,-88.527
11188781,-88.527
11188881,-88.527
11188981,-88.527
11189082,-88.527
11189182,-88.527
11189282,-88.527
11189383,-88.527
11189483,-88.527
11189585,-88.527
11189685,-88.527
11189785,-88.527
11189885,-88.527
11190000,-88.527
11190103,-88.527
11190205,-88.527
11190305,-88.527
11190305,-88.527
11190408,-88.527
11190513,-88.527
11190613,-88.527
11190720,-88.527
11190825,-88.527
11190935,-88.527
11191035,-88.527
11191135,-88.527
11191235,-88.527
11191340,-88.527
11191442,-88.527
11191542,-88.527
11191642,-88.527
11191744,-88.527
11191846,-88.527
11191946,-88.527
11192046,-88.527
11192146,-88.527
11192246,-88.527
11192346,-88.527
11192446,-88.527
11192550,-88.527
11192650,-88.527
11192751,-88.527
11192851,-88.527
11192951,-88.527
11193051,-88.527
11193152,-88.527
11193256,-88.527
11193356,-88.527
11193456,-88.527
11193574,-88.527
11193674,-88.527
11193774,-88.527
11193879,-88.527
11193989,-88.527
11194092,-88.527
11194195,-88.527
11194296,-88.527
11194396,-88.527
11194497,-88.527
11194597,-88.527
11194697,-88.527
11194797,-88.527
11194903,-88.527
11195003,-88.527
11195103,-88.527
11195203,-88.527
11195303,-88.527
11195405,-88.527
11195505,-88.527
11195605,-88.527
11195705,-88.527
11195810,-88.527
11195910,-88.527
11196010,-88.527
11196117,-88.527
11196220,-88.527
11196320,-88.527
11196420,-88.527
11196520,-88.527
11196620,-88.527
11196721,-88.527
11196821,-88.527
11196921,-88.527
11197021,-88.527
11197121,-88.527
11197227,-88.527
11197327,-88.527
11197427,-88.527
11197527,-88.527
11197633,-88.527
11197733,-88.527
11197833,-88.527
11197938,-88.527
11198039,-88.527
11198142,-88.527
11198242,-88.527
11198342,-88.527
11198442,-88.527
11198544,-88.527
11198644,-88.527
11198744,-88.527
11198844,-88.527
11198944,-88.527
11199046,-88.527
11199146,-88.527
11199253,-88.527
11199354,-88.527
11199454,-88.527
11199556,-88.527
11199656,-88.527
11199759,-88.527
11199882,-88.527
11199986,-88.527
11200087,-88.527
11200187,-88.527
11200287,-88.527
11200387,-88.527
11200489,-88.527
11200489,-88.527
11200589,-88.527
11200589,-88.527
11200689,-88.527
11200689,-88.527
11200789,-88.527
11200891,-88.527
11200997,-88.527
11201098,-88.527
11201198,-88.527
11201298,-88.527
11201398,-88.527
11201502,-88.527
11201602,-88.527
11201702,-88.527
11201807,-88.527
11201907,-88.527
11202007,-88.527
11202107,-88.527
11202212,-88.527
